Dataset,Category,Rows,Columns,Memory_MB,Has_RID,Has_PTID,Has_VISCODE,Has_VISCODE2,Has_PHASE,Unique_RID,Unique_PTID,Unique_VISCODE,Missing_Pct,Sparse_Cols,Duplicate_Rows
APOERES_13Feb2026,biospecimen,3253,16,1.03,True,True,True,False,True,3253,3253,2,46.48,11,0
UPENN_PLASMA_FUJIREBIO_QUANTERIX_13Feb2026,biospecimen,2178,19,0.97,True,True,True,True,True,1615,1615,27,11.49,1,0
batemanlab_20221118_13Feb2026,biospecimen,742,36,0.93,True,False,True,True,False,358,0,9,10.62,3,0
batemanlab_20190621_13Feb2026,biospecimen,622,73,0.79,True,False,True,True,False,200,0,3,21.73,20,0
YASSINE_CSF_13Feb2026,biospecimen,188,25,0.08,True,False,False,True,False,188,0,0,27.02,8,0
YASSINE_PLASMA_13Feb2026,biospecimen,188,22,0.07,True,False,False,True,False,188,0,0,26.23,7,0
MRIQC_13Feb2026,imaging_mri,91309,26,79.66,False,False,False,True,False,0,0,0,3.95,1,0
MRIMPRANK_13Feb2026,imaging_mri,9412,17,3.36,True,True,True,False,False,859,859,11,5.84,1,0
MRI3META_13Feb2026,imaging_mri,9371,42,5.52,True,True,True,True,True,2872,2872,31,40.36,17,0
TBM_03_17_2022_13Feb2026,imaging_mri,9354,17,4.53,True,False,True,False,False,1921,0,9,5.94,1,0
ADNI_PICSLASHS_13Feb2026,imaging_mri,4184,67,3.03,True,True,True,True,True,1965,1965,22,2.84,1,0
UASPMVBM_13Feb2026,imaging_mri,4091,127,4.13,True,False,True,False,False,829,0,5,0.0,0,0
BSI_13Feb2026,imaging_mri,3594,20,0.97,True,False,True,False,False,842,0,8,14.98,1,0
UCSFSNTVOL_13Feb2026,imaging_mri,1874,15,0.38,True,False,True,False,False,587,0,4,0.0,0,0
UCSFATRPHY_13Feb2026,imaging_mri,1721,12,0.3,True,False,False,True,False,765,0,0,0.0,0,0
UCSFFSL51Y1_08_01_16_13Feb2026,imaging_mri,1356,364,4.59,True,False,True,True,False,357,0,12,0.65,2,0
UCSFASLQC_13Feb2026,imaging_mri,1011,7,0.22,False,True,False,False,False,0,300,0,6.84,0,0
UCSFASLFS_11_02_15_V2_13Feb2026,imaging_mri,675,701,3.76,True,False,True,True,False,257,0,11,3.51,12,0
UPENNSPARE_MCI_08_12_16_13Feb2026,imaging_mri,330,13,0.13,True,False,True,False,False,330,0,1,5.17,1,0
CDR_13Feb2026,neuropsychological,14705,25,6.13,True,True,True,True,True,4398,4398,30,16.6,4,0
GDSCALE_13Feb2026,neuropsychological,13783,32,6.48,True,True,True,True,True,4587,4587,29,13.09,5,0
FAQ_13Feb2026,neuropsychological,13360,27,5.77,True,True,True,True,True,3020,3020,30,15.62,5,0
ADAS_13Feb2026,neuropsychological,12952,16,4.51,True,True,True,True,True,3027,3027,29,20.68,4,0
MOCA_13Feb2026,neuropsychological,9044,58,6.06,True,True,True,True,True,2500,2500,25,8.78,5,0
NPI_13Feb2026,neuropsychological,8317,168,12.56,True,True,True,True,True,2467,2467,19,69.68,131,0
ECOGSP_13Feb2026,neuropsychological,8107,59,5.08,True,True,True,True,True,1913,1913,22,13.57,10,0
ECOGPT_13Feb2026,neuropsychological,8093,62,5.25,True,True,True,True,True,1917,1917,22,13.5,10,0
WATC_13Feb2026,neuropsychological,1012,58,0.71,True,True,True,True,True,1012,1012,3,73.28,43,0
IES_13Feb2026,neuropsychological,698,29,0.34,True,True,True,True,True,585,585,4,0.3,0,0
